First_Name,EMail,Age,Gender,Location_Preferences,Latitude,Longitude,Country,City,Languages_Preferred,Last_Seen,Response_Time
Vincent,vincent.franke@zoho.com,27,Diverse,Remote Only,52.46307841102323,13.254444437481526,Germany,Berlin,['Punjabi'],Within a Week,Within a week
Eva,eva.demirel@1und1.de,27,Female,Local or Remote,52.41382607698789,13.667507642965305,Germany,Berlin,['Turkish'],Within a Week,Within a week
Benedita,benedita.brown@freenet.de,27,Female,Local or Remote,52.523945036510575,13.65827654307074,Germany,Berlin,"['Arabic', 'Japanese']",Within a Week,Within a week
Milica,milica.bibi@aol.com,29,Male,Remote Only,52.52453129739231,13.589028271498464,Germany,Berlin,"['Turkish', 'French', 'German', 'Arabic', 'Bengali']",Within a Week,Within a week
Nadeschda,nadeschda.tessier@icloud.com,23,Male,Local or Remote,52.5220775112723,13.121466639118966,Germany,Berlin,"['Spanish', 'French', 'Japanese', 'Russian']",Today,Within 24 hours
Olivie,olivie.gryga@yahoo.com,25,Male,Local or Remote,52.58643003678288,13.69355820666105,Germany,Berlin,"['Italian', 'Hindi', 'English', 'Ukrainian', 'Russian']",Within a Week,Within a week
Sylvie,sylvie.walter@icloud.com,25,Male,Local or Remote,52.62402197007457,13.264652533057122,Germany,Berlin,"['Russian', 'Punjabi', 'Japanese']",Within a Month,Within a week
Roxana,roxana.rincón@outlook.com,24,Female,Local or Remote,52.58879033207179,13.34619176777621,Germany,Berlin,"['Mandarin Chinese', 'Arabic']",Within a Week,Within a week
Gert,gert.álamo@t-online.de,27,Prefer not to say,Local or Remote,52.44762145161107,13.360841724820924,Germany,Berlin,['German'],Recently,Within a month
Paulina,paulina.murri@unitybox.de,26,Female,Remote Only,52.67239041690637,13.713287831211346,Germany,Berlin,"['Punjabi', 'English', 'French', 'Japanese', 'Bengali']",Within a Week,Within a week
Martine,martine.domian@arcor.de,27,Prefer not to say,Local Only,52.56472215445694,13.187514055578191,Germany,Berlin,"['Portuguese', 'Polish', 'French', 'Hindi', 'Spanish']",Yesterday,Within 24 hours
Naiara,naiara.thierry@web.de,26,Male,Remote Only,52.47881530044347,13.206091765368857,Germany,Berlin,"['German', 'Arabic', 'Portuguese']",Yesterday,Within a month
Fiamma,fiamma.täsche@protonmail.com,28,Female,Local or Remote,52.515579047414505,13.40738246479892,Germany,Berlin,"['Spanish', 'Bengali', 'Italian', 'Russian']",Today,More than a month
Ludwig,ludwig.losekann@unitybox.de,25,Diverse,Remote Only,52.47618421402547,13.553801517197344,Germany,Berlin,['Mandarin Chinese'],Within a Week,Within a month
Lucrezia,lucrezia.seven@t-online.de,27,Female,Remote Only,52.636114867351836,13.454252471229532,Germany,Berlin,"['Polish', 'Mandarin Chinese']",Within a Week,Within a week
Antonio,antonio.duran@arcor.de,28,Female,Remote Only,52.60089905700991,13.088549627193842,Germany,Berlin,"['Portuguese', 'Bengali', 'Russian', 'Punjabi']",Within a Week,Within 24 hours
Daniel,daniel.dupré@gmx.de,26,Male,Local or Remote,52.43088242839768,13.145965838914577,Germany,Berlin,['Ukrainian'],Today,Within a month
Nanni,nanni.thompson@1und1.de,26,Male,Local or Remote,52.60770402101076,13.292923204624335,Germany,Berlin,['German'],Within a Week,Within a week
Lorraine,lorraine.burke@protonmail.com,22,Male,Remote Only,52.417059910966906,13.196506988907805,Germany,Berlin,['Russian'],Today,Within a month
İmam,i̇mam.rogers@unitybox.de,29,Female,Remote Only,52.51676914768199,13.643107281320054,Germany,Berlin,"['French', 'Romanian', 'Portuguese', 'Russian', 'Arabic']",Yesterday,Within 24 hours
Nieves,nieves.gülen@protonmail.com,29,Male,Remote Only,52.4967031100121,13.3890145226495,Germany,Berlin,"['Punjabi', 'French']",Within a Week,Within a week
Ana,ana.mansız@hotmail.com,27,Male,Remote Only,52.35239122893485,13.18295526225893,Germany,Berlin,"['Arabic', 'German', 'Ukrainian', 'English']",Today,Within a week
Luísa,luísa.vaz@aol.com,29,Male,Local or Remote,52.37429034587512,13.554404282879347,Germany,Berlin,"['Spanish', 'German', 'Italian', 'Japanese', 'Mandarin Chinese']",Within a Week,Within a month
Yaşar,yaşar.fonseca@hotmail.com,24,Male,Local or Remote,52.593563451125235,13.170621859292899,Germany,Berlin,['Arabic'],Within a Week,Within a month
Giuliano,giuliano.rädel@protonmail.com,24,Male,Remote Only,52.35391351992194,13.686787433936546,Germany,Berlin,"['Mandarin Chinese', 'French', 'Turkish', 'Bengali', 'Romanian']",Recently,Within a week
Alex,alex.whitehead@hotmail.com,27,Female,Remote Only,52.51528844598568,13.706462050282433,Germany,Berlin,"['Hindi', 'Italian']",Within a Week,Within a week
Débora,débora.şensoy@mail.com,26,Female,Local or Remote,52.50949125837761,13.340160081254943,Germany,Berlin,"['Mandarin Chinese', 'Spanish', 'Turkish', 'Hindi']",Within a Week,Within a month
Graziella,graziella.kaul@gmail.com,23,Male,Remote Only,52.41563813634923,13.252887000815406,Germany,Berlin,"['Turkish', 'Hindi', 'Romanian', 'Mandarin Chinese']",Recently,Within 24 hours
Jeremi,jeremi.plaza@unitybox.de,24,Male,Remote Only,52.5051446410747,13.545971219568212,Germany,Berlin,"['Mandarin Chinese', 'Ukrainian']",Within a Week,More than a month
Pastora,pastora.kansy@arcor.de,24,Male,Local Only,52.3960019028648,13.648820903899727,Germany,Berlin,"['Polish', 'Turkish', 'Italian']",Within a Week,Within a week
Mafalda,mafalda.léger@freenet.de,25,Male,Local or Remote,52.65551565687497,13.527594202785561,Germany,Berlin,['Polish'],Within a Week,More than a month
Tiziana,tiziana.römer@unitybox.de,27,Male,Local or Remote,52.39899288829792,13.281112782313228,Germany,Berlin,"['Mandarin Chinese', 'Romanian']",Within a Week,Within a week
Sabih,sabih.bompiani@yahoo.com,27,Female,Remote Only,52.6547306114145,13.559376182575459,Germany,Berlin,"['Italian', 'Portuguese']",Over a Month Ago,Within a month
Donna,donna.ficner@arcor.de,26,Male,Local or Remote,52.46886463638085,13.113047832207478,Germany,Berlin,"['Portuguese', 'Russian', 'Punjabi', 'Arabic']",Within a Week,Within 24 hours
Jeremy,jeremy.walker@freenet.de,27,Female,Local or Remote,52.410132283974335,13.190608365471475,Germany,Berlin,"['Spanish', 'English', 'Italian']",Within a Month,Within a week
Józef,józef.paiva@t-online.de,24,Male,Remote Only,52.605712605097715,13.335396597861175,Germany,Berlin,['Japanese'],Within a Week,Within a month
Urszula,urszula.ramos@t-online.de,25,Male,Local or Remote,52.59898049489575,13.484372676027913,Germany,Berlin,['Russian'],Today,Within 24 hours
Imelda,imelda.brugnaro@icloud.com,27,Female,Local or Remote,52.46102658576603,13.665570946350295,Germany,Berlin,['Punjabi'],Within a Week,Within a week
Margaux,margaux.neto@freenet.de,29,Prefer not to say,Local or Remote,52.56547224163376,13.218365408188749,Germany,Berlin,"['Portuguese', 'Polish']",Within a Week,Within a month
Lauren,lauren.cañellas@protonmail.com,25,Female,Remote Only,52.45530009663972,13.48580244784123,Germany,Berlin,"['Portuguese', 'Polish', 'Punjabi', 'Bengali', 'Russian']",Within a Week,Within a week
Gareth,gareth.matias@zoho.com,24,Female,Local Only,52.49472036959676,13.62794260669232,Germany,Berlin,"['Spanish', 'English']",Within a Week,Within a week
Benoît,benoît.kochman@aol.com,27,Male,Local or Remote,52.40713981516593,13.13815015816827,Germany,Berlin,"['Italian', 'Japanese', 'Hindi']",Within a Week,Within 24 hours
Matthieu,matthieu.carneiro@arcor.de,26,Diverse,Local or Remote,52.604544011572244,13.610257653610372,Germany,Berlin,"['Punjabi', 'Polish', 'Bengali', 'Italian', 'Ukrainian']",Yesterday,Within 24 hours
Elöve,elöve.tamayo@gmail.com,26,Male,Local or Remote,52.51707516251794,13.47086819229364,Germany,Berlin,['English'],Within a Week,Within 24 hours
Rui,rui.guicciardini@protonmail.com,22,Female,Remote Only,52.52412383261504,13.196490360420084,Germany,Berlin,"['Portuguese', 'Polish', 'Arabic', 'Mandarin Chinese', 'English']",Within a Week,Within a week
Ryszard,ryszard.rust@outlook.com,25,Prefer not to say,Remote Only,52.48916541147195,13.515837492913292,Germany,Berlin,"['Portuguese', 'Russian', 'Arabic', 'Romanian', 'Mandarin Chinese']",Within a Week,Within a week
Noémi,noémi.ergül@yahoo.com,29,Male,Local or Remote,52.50860863191955,13.741784838622708,Germany,Berlin,"['German', 'Turkish']",Within a Week,Within a month
Joaquina,joaquina.rząca@1und1.de,25,Prefer not to say,Local or Remote,52.57845947115721,13.629954003911129,Germany,Berlin,"['Italian', 'Hindi', 'French']",Within a Week,Within a week
Anouk,anouk.vasseur@yahoo.com,27,Female,Remote Only,52.40923678115155,13.546498059432606,Germany,Berlin,['Punjabi'],Within a Week,Within a week
Manon,manon.fischer@icloud.com,25,Male,Local or Remote,52.65966195574634,13.214575553530864,Germany,Berlin,"['Ukrainian', 'Portuguese', 'Polish']",Yesterday,Within 24 hours
Muhip,muhip.berger@zoho.com,25,Male,Local or Remote,52.434376107385596,13.598899620644522,Germany,Berlin,['Spanish'],Within a Week,Within a week
Gérard,gérard.pedersoli@unitybox.de,30,Female,Local or Remote,52.52667728126732,13.47274520842716,Germany,Berlin,['Japanese'],Within a Month,Within a week
Damien,damien.leal@freenet.de,25,Male,Local or Remote,52.378616957318194,13.306652715535146,Germany,Berlin,"['Romanian', 'Bengali', 'English', 'Hindi']",Within a Month,Within a week
Kaspar,kaspar.pou@zoho.com,27,Male,Local or Remote,52.357514024088665,13.375953971211034,Germany,Berlin,"['Arabic', 'Portuguese', 'Spanish', 'Japanese']",Recently,Within 24 hours
Pauline,pauline.ordóñez@1und1.de,28,Female,Local Only,52.62841328072918,13.223850669474867,Germany,Berlin,['Spanish'],Within a Week,Within a week
Sadittin,sadittin.carroll@yahoo.com,25,Female,Local or Remote,52.66006838732485,13.528132074007639,Germany,Berlin,"['German', 'Turkish']",Within a Week,Within a week
Salvador,salvador.antelami@gmail.com,27,Female,Remote Only,52.602377198959196,13.27255955190769,Germany,Berlin,"['English', 'Russian', 'Hindi', 'Japanese', 'Italian']",Within a Week,Within a month
Gabriela,gabriela.manzoni@1und1.de,26,Female,Local or Remote,52.59426417483016,13.248604590337491,Germany,Berlin,"['Portuguese', 'Turkish', 'Italian', 'Bengali', 'Mandarin Chinese']",Within a Week,Within 24 hours
Zoé,zoé.albero@protonmail.com,26,Male,Local Only,52.5895236348219,13.348806378332183,Germany,Berlin,"['Romanian', 'Spanish', 'Mandarin Chinese']",Within a Month,Within a week
Angélica,angélica.wright@1und1.de,24,Male,Local or Remote,52.49855057834502,13.621658244090863,Germany,Berlin,['Spanish'],Within a Week,Within a week
Filip,filip.fabra@zoho.com,23,Prefer not to say,Local or Remote,52.649388873503646,13.535944859759624,Germany,Berlin,"['Romanian', 'Polish']",Today,Within a week
Anastasie,anastasie.manço@t-online.de,28,Diverse,Local or Remote,52.56756044994057,13.56671542309373,Germany,Berlin,"['Italian', 'Spanish', 'Hindi', 'Portuguese']",Over a Month Ago,Within a month
Eusebio,eusebio.roux@gmail.com,27,Female,Remote Only,52.41814520600374,13.479890442845301,Germany,Berlin,"['Arabic', 'Polish']",Within a Week,Within a month
Feryas,feryas.martin@gmx.de,28,Male,Remote Only,52.39788805564515,13.562677359109777,Germany,Berlin,"['Arabic', 'Polish', 'German', 'Portuguese']",Within a Week,Within a week
Philippine,philippine.bousquet@gmail.com,26,Female,Local Only,52.47435632915335,13.410187934926666,Germany,Berlin,['Polish'],Yesterday,Within a week
Walfried,walfried.lecomte@yahoo.com,26,Male,Remote Only,52.4081313537892,13.105157415225065,Germany,Berlin,"['Italian', 'Russian', 'Turkish', 'Portuguese']",Today,Within a week
Alan,alan.eraslan@aol.com,27,Female,Remote Only,52.34218266218338,13.733889598162412,Germany,Berlin,"['Romanian', 'Punjabi', 'Hindi']",Yesterday,Within a month
Débora,débora.pinho@aol.com,28,Prefer not to say,Local or Remote,52.54073752576658,13.352090625463083,Germany,Berlin,"['Arabic', 'Japanese', 'Bengali', 'Portuguese']",Yesterday,Within 24 hours
Anabel,anabel.dumas@zoho.com,25,Female,Local or Remote,52.37291044463432,13.368750669929847,Germany,Berlin,"['English', 'Turkish', 'Punjabi']",Yesterday,Within a week
Iara,iara.malpighi@gmx.de,30,Diverse,Remote Only,52.38262410474372,13.370103257621913,Germany,Berlin,"['Ukrainian', 'Punjabi']",Within a Week,Within a week
Livia,livia.williams@icloud.com,25,Male,Local or Remote,52.50099519108419,13.27097638932419,Germany,Berlin,"['Japanese', 'Russian']",Within a Week,Within a week
Maurycy,maurycy.dennis@arcor.de,28,Female,Local Only,52.49269566167471,13.257187518812502,Germany,Berlin,"['Hindi', 'Arabic']",Within a Month,Within a week
Gianfrancesco,gianfrancesco.guardia@zoho.com,27,Female,Local or Remote,52.450270128435754,13.167802178844237,Germany,Berlin,['German'],Within a Week,Within 24 hours
Beatrice,beatrice.butte@hotmail.com,22,Female,Local Only,52.61520390395086,13.729703573595634,Germany,Berlin,"['Turkish', 'Spanish', 'Portuguese', 'Mandarin Chinese', 'Romanian']",Within a Week,More than a month
Eduarda,eduarda.vismara@1und1.de,28,Prefer not to say,Local or Remote,52.611937610542945,13.100875826159218,Germany,Berlin,"['English', 'Mandarin Chinese', 'Hindi', 'Romanian']",Recently,Within a week
Norman,norman.szmagaj@gmail.com,24,Diverse,Local Only,52.648913875918446,13.596183070333723,Germany,Berlin,"['English', 'Arabic']",Within a Week,Within 24 hours
Soraia,soraia.akçay@web.de,25,Male,Local or Remote,52.471182946530526,13.106500826351102,Germany,Berlin,"['Ukrainian', 'Hindi', 'English', 'Spanish', 'Romanian']",Within a Week,Within a week
Felipe,felipe.morosini@unitybox.de,25,Male,Local Only,52.583331871933964,13.60493096399171,Germany,Berlin,"['Punjabi', 'Arabic']",Within a Week,Within a week
Nair,nair.schuster@freenet.de,26,Female,Local Only,52.43767628883534,13.416847505862403,Germany,Berlin,"['Mandarin Chinese', 'Turkish']",Within a Week,Within a week
Juanita,juanita.potier@hotmail.com,27,Male,Local or Remote,52.57316008398786,13.583581730470794,Germany,Berlin,"['Turkish', 'Ukrainian', 'Japanese']",Over a Month Ago,Within 24 hours
Leonor,leonor.jourdan@zoho.com,30,Male,Local or Remote,52.463303906091106,13.111078579884852,Germany,Berlin,"['Mandarin Chinese', 'Turkish', 'Arabic']",Within a Month,Within a week
Denis,denis.matias@yahoo.com,28,Male,Local or Remote,52.55295211675166,13.477288880631518,Germany,Berlin,"['Japanese', 'Turkish', 'Ukrainian', 'Spanish', 'Romanian']",Today,Within a week
Filipa,filipa.mir@aol.com,26,Male,Remote Only,52.62021379322438,13.12743860498747,Germany,Berlin,['German'],Yesterday,Within a month
Thomas,thomas.thomas@arcor.de,27,Male,Local or Remote,52.61558089981853,13.193087599396357,Germany,Berlin,['Arabic'],Within a Week,Within a week
Roberto,roberto.alemdar@outlook.com,29,Diverse,Local or Remote,52.34476709133989,13.511919471071407,Germany,Berlin,"['Turkish', 'Ukrainian', 'Arabic', 'Polish']",Within a Week,More than a month
Abdulmenaf,abdulmenaf.rok@mail.com,27,Male,Remote Only,52.54573690477753,13.277233894813493,Germany,Berlin,"['Spanish', 'Japanese']",Yesterday,Within a week
Dante,dante.petrassi@zoho.com,26,Prefer not to say,Local or Remote,52.420606982363886,13.479193895509676,Germany,Berlin,['Bengali'],Within a Week,Within a week
Amanda,amanda.gülen@gmail.com,24,Diverse,Remote Only,52.40998470861916,13.187882495700173,Germany,Berlin,"['Bengali', 'German', 'Ukrainian', 'Polish']",Within a Week,Within a week
Afonso,afonso.campos@freenet.de,25,Female,Remote Only,52.48061797600019,13.458213143956549,Germany,Berlin,"['Russian', 'Arabic', 'Turkish']",Within a Week,Within a week
Iwan,iwan.akçay@arcor.de,23,Female,Remote Only,52.4675237840552,13.323112244758063,Germany,Berlin,"['Punjabi', 'Japanese', 'German', 'Hindi']",Within a Week,Within a week
Heiderose,heiderose.durdu@zoho.com,25,Female,Local or Remote,52.61309299098399,13.400641159145193,Germany,Berlin,"['Punjabi', 'English', 'Bengali']",Recently,Within a week
Karl,karl.camino@t-online.de,28,Female,Local or Remote,52.4411667473793,13.244210490928264,Germany,Berlin,"['Spanish', 'Russian']",Today,Within a week
Luciano,luciano.nguyen@protonmail.com,26,Male,Remote Only,52.472785563978135,13.295966345564654,Germany,Berlin,"['Italian', 'German', 'Punjabi', 'French', 'Ukrainian']",Recently,Within 24 hours
Inés,inés.lynch@yahoo.com,24,Female,Local Only,52.46636524059843,13.590584536550748,Germany,Berlin,"['Spanish', 'Turkish']",Within a Week,Within a week
Gilbert,gilbert.akgündüz@freenet.de,23,Male,Local or Remote,52.672144861118,13.243896788156663,Germany,Berlin,"['Turkish', 'Polish']",Over a Month Ago,Within a month
Sevindik,sevindik.mansız@yahoo.com,25,Male,Remote Only,52.36148556762456,13.594727630253555,Germany,Berlin,"['Bengali', 'Romanian']",Within a Week,Within 24 hours
Achim,achim.tamburini@arcor.de,23,Female,Local or Remote,52.65792411257141,13.528732297505499,Germany,Berlin,"['Portuguese', 'Italian']",Within a Week,Within 24 hours
Sandro,sandro.reis@icloud.com,26,Female,Local or Remote,52.47961123502076,13.280436316414496,Germany,Berlin,['Japanese'],Within a Week,Within 24 hours
Ricardo,ricardo.delahaye@gmail.com,28,Female,Remote Only,52.359440054290566,13.54436433382503,Germany,Berlin,"['Spanish', 'Arabic']",Within a Week,Within a week
Marika,marika.melo@t-online.de,24,Female,Remote Only,52.49247787848172,13.402690771853983,Germany,Berlin,"['Romanian', 'Arabic']",Within a Month,Within a week
Gioacchino,gioacchino.murray@gmx.de,28,Diverse,Remote Only,52.603362666979734,13.093861192934897,Germany,Berlin,"['Ukrainian', 'Bengali']",Within a Week,Within 24 hours
Jonathan,jonathan.tanguy@unitybox.de,26,Female,Local or Remote,52.424237407129986,13.314545450951808,Germany,Berlin,"['Polish', 'Bengali']",Within a Week,Within a week
Gerald,gerald.smith@outlook.com,28,Male,Local or Remote,52.33925394426999,13.462632563438477,Germany,Berlin,"['Punjabi', 'Mandarin Chinese', 'Arabic', 'Portuguese', 'Japanese']",Today,Within 24 hours
Martin,martin.tekiela@freenet.de,24,Male,Local or Remote,52.49123900815224,13.379631945071417,Germany,Berlin,"['Romanian', 'Spanish']",Within a Week,Within a month
Yvonne,yvonne.musatti@mail.com,24,Male,Local or Remote,52.49847550125434,13.651516215485971,Germany,Berlin,['Turkish'],Recently,Within a week
Gema,gema.peda@web.de,27,Male,Local or Remote,52.59533093500976,13.381149356910692,Germany,Berlin,"['Ukrainian', 'Mandarin Chinese', 'English']",Within a Month,Within a week
Ertan,ertan.faivre@aol.com,25,Female,Local Only,52.55932555617147,13.122755635450055,Germany,Berlin,"['Romanian', 'French']",Today,Within a month
Amélia,amélia.hesse@zoho.com,25,Male,Remote Only,52.61992982784871,13.699829870810447,Germany,Berlin,"['French', 'Mandarin Chinese']",Within a Week,Within a week
Artemio,artemio.walker@icloud.com,23,Female,Local or Remote,52.494207013008186,13.555987894127467,Germany,Berlin,"['Polish', 'Bengali', 'Punjabi', 'Arabic']",Within a Month,More than a month
Margarida,margarida.vattimo@gmx.de,28,Male,Local or Remote,52.37446025128259,13.542122779510619,Germany,Berlin,['Turkish'],Yesterday,Within a week
Camillo,camillo.goldstein@mail.com,23,Diverse,Local or Remote,52.58365995994581,13.70343942221468,Germany,Berlin,"['German', 'French']",Within a Week,Within a week
René,rené.alves@gmx.de,23,Female,Local Only,52.45467670519114,13.627492684828539,Germany,Berlin,"['Italian', 'Hindi']",Within a Week,Within a week
Sabih,sabih.kruschwitz@1und1.de,28,Male,Local Only,52.551710294102534,13.212086510746015,Germany,Berlin,"['Punjabi', 'Turkish', 'Arabic', 'Polish', 'Bengali']",Within a Month,Within a month
Mark,mark.müller@yahoo.com,27,Female,Local or Remote,52.51866991526074,13.125254219351937,Germany,Berlin,"['Hindi', 'Romanian']",Within a Week,Within a week
José,josé.melcer@arcor.de,27,Female,Remote Only,52.654200718159984,13.591873672762492,Germany,Berlin,['Spanish'],Within a Month,Within a week
Achille,achille.pereira@protonmail.com,28,Male,Local or Remote,52.472776255426936,13.616486170173033,Germany,Berlin,"['English', 'Italian', 'Bengali', 'Hindi', 'Russian']",Yesterday,Within 24 hours
Lorenzo,lorenzo.pederiva@t-online.de,22,Female,Local Only,52.35829185027158,13.347590026244328,Germany,Berlin,['Italian'],Within a Week,Within 24 hours
Alışık,alışık.ramos@freenet.de,28,Diverse,Remote Only,52.52838026341011,13.641807755529609,Germany,Berlin,"['Punjabi', 'Romanian', 'Arabic']",Today,Within a month
Emmi,emmi.germain@protonmail.com,26,Female,Local or Remote,52.5444267660829,13.51735752001272,Germany,Berlin,"['Japanese', 'Hindi', 'Mandarin Chinese']",Over a Month Ago,Within 24 hours
Irina,irina.humbert@icloud.com,24,Female,Remote Only,52.52242976734948,13.125540004524535,Germany,Berlin,"['Punjabi', 'Arabic']",Recently,Within a week
Giuseppina,giuseppina.łasak@outlook.com,26,Male,Local or Remote,52.404144908034795,13.26460159701536,Germany,Berlin,"['Russian', 'Italian', 'Portuguese', 'Turkish', 'English']",Within a Week,Within a month
Bengibay,bengibay.rosselló@gmx.de,28,Male,Local Only,52.387623214711546,13.646253376439711,Germany,Berlin,"['Hindi', 'Turkish', 'Mandarin Chinese', 'Ukrainian']",Within a Week,Within a week
Livia,livia.lamas@icloud.com,27,Female,Local or Remote,52.431048495686376,13.641697644195377,Germany,Berlin,['Russian'],Within a Week,Within a week
Niccolò,niccolò.paczos@arcor.de,24,Prefer not to say,Remote Only,52.60800426183284,13.601843180804456,Germany,Berlin,"['Turkish', 'Romanian', 'Punjabi']",Today,Within 24 hours
Gabino,gabino.almeida@icloud.com,23,Male,Local or Remote,52.62798151030446,13.345593173454704,Germany,Berlin,"['Spanish', 'Polish', 'Mandarin Chinese', 'Italian']",Within a Week,Within a week
Pasquale,pasquale.fonseca@t-online.de,25,Female,Local or Remote,52.643607930622764,13.46464130130563,Germany,Berlin,['Arabic'],Yesterday,Within a week
Darren,darren.wähner@protonmail.com,27,Female,Local or Remote,52.52807523622015,13.761078940682756,Germany,Berlin,"['German', 'Japanese', 'Russian', 'Bengali']",Within a Week,Within a week
Stefano,stefano.legutko@arcor.de,25,Female,Local or Remote,52.581436338085055,13.527787866169282,Germany,Berlin,"['English', 'Portuguese', 'Hindi', 'Polish']",Yesterday,Within a week
Martin,martin.waters@icloud.com,27,Male,Local or Remote,52.60280125651765,13.708210146067026,Germany,Berlin,"['Ukrainian', 'Polish', 'Arabic']",Within a Week,Within a month
Susanne,susanne.bignami@gmail.com,27,Male,Remote Only,52.62332379840329,13.616766659853138,Germany,Berlin,"['Spanish', 'Italian', 'Ukrainian', 'Hindi']",Within a Week,Within 24 hours
Bernadette,bernadette.gilbert@gmail.com,30,Female,Remote Only,52.55206412020217,13.66269058261332,Germany,Berlin,"['French', 'Bengali']",Within a Month,Within 24 hours
Fahrullah,fahrullah.çamurcuoğlu@gmx.de,27,Male,Local or Remote,52.66516854783017,13.278145260408353,Germany,Berlin,"['Italian', 'Japanese', 'Polish', 'French']",Within a Week,Within a week
Lucho,lucho.yüksel@hotmail.com,23,Diverse,Local or Remote,52.641279331320064,13.722350363964939,Germany,Berlin,"['Japanese', 'Punjabi']",Within a Week,Within 24 hours
Agustina,agustina.dubois@zoho.com,25,Female,Local or Remote,52.49648983536245,13.51671784852192,Germany,Berlin,"['English', 'Italian']",Within a Month,More than a month
Şennur,şennur.maciocha@gmail.com,27,Male,Local Only,52.594707845221784,13.440425006966315,Germany,Berlin,"['Japanese', 'Russian', 'Italian', 'English', 'Romanian']",Within a Week,Within a week
Bünyamün,bünyamün.harloff@t-online.de,27,Prefer not to say,Local Only,52.58573910954324,13.160111924969152,Germany,Berlin,"['Turkish', 'Spanish']",Within a Month,Within a week
Ida,ida.trapp@arcor.de,25,Male,Remote Only,52.40625538459494,13.582620014473923,Germany,Berlin,['Mandarin Chinese'],Within a Week,Within a week
Christophe,christophe.camacho@gmail.com,23,Male,Local or Remote,52.45561916066594,13.559732604275212,Germany,Berlin,['Punjabi'],Over a Month Ago,Within a week
