First_Name,EMail,Age,Gender,Location_Preferences,Latitude,Longitude,Country,City,Languages_Preferred,Last_Seen,Response_Time,Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Count_Programming_and_Software_Development_off,Count_Project_Management_off,Count_Accounting_and_Finance_off,Count_Marketing_and_Advertising_off,Count_Sales_and_Customer_Service_off,Count_Human_Resources_and_Leadership_off,Count_Graphic_Design_and_Illustration_off,Count_Photography_and_Photo_Editing_off,Count_Music_instruments_Composition_and_Production_off,Count_Writing_and_Editing_off,Count_Arts_and_Crafts_and_DIY_Projects_off,Count_Learning_Foreign_Languages_off,Count_Written_and_Oral_Communication_in_Various_Languages_off,Count_Interpretation_and_Translation_off,Count_Computer_and_Software_Application_Operation_off,Count_Network_Administration_and_IT_Support_off,Count_Electronics_and_Robotics_off,Count_Web_Design_and_Development_off,Count_Data_Analysis_and_Visualization_off,Count_Interpersonal_Communication_off,Count_Conflict_Resolution_and_Mediation_off,Count_Empathy_and_Emotional_Intelligence_off,Count_Leadership_Skills_and_Teamwork_off,Count_Networking_and_Relationship_Management_off,Count_Cooking_and_Baking_off,Count_Gardening_and_Farming_off,Count_DIY_and_Repairs_off,Count_Driving_and_Vehicle_Maintenance_off,Count_First_Aid_and_Life_Saving_Techniques_off,Count_Mathematics_and_Sciences_off,Count_History_and_Social_Sciences_off,Count_Literature_and_Philosophy_off,Count_Research_Methods_and_Academic_Writing_off,Count_Academic_Reading_and_Critique_off,Count_Time_Management_and_Organization_off,Count_Stress_Management_and_Mindfulness_off,Count_Financial_Planning_and_Budgeting_off,Count_Self_Defense_and_Personal_Safety_off,Count_Healthcare_and_Nutrition_off,Sum_Skills_Off,Sum_Skills_Rec,Usability,Speed_Performance,Feature_Satisfaction,Security_Satisfaction,Customer_Support
Piergiorgio,piergiorgio.juncken@zoho.com,25,Prefer not to say,Local or Remote,52.59104540952377,13.246716820056244,Germany,Berlin,"['Bengali', 'Spanish']",Within a Week,Within a week,Intermediate,Novice,Novice,Advanced,Expert,Novice,,,,,,,,,,,,,,Expert,Advanced,Advanced,Novice,Advanced,Advanced,Novice,Novice,Intermediate,Beginner,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,Neutral or Average,Very Dissatisfied,Very Satisfied,Satisfied,Neutral or Average
Teresa,teresa.galeati@hotmail.com,29,Male,Local or Remote,52.56881181461488,13.309219476872826,Germany,Berlin,"['Polish', 'Mandarin Chinese', 'Japanese', 'Ukrainian', 'Portuguese']",Today,Within 24 hours,Novice,Novice,Beginner,Novice,Novice,Intermediate,,,,,,Advanced,Expert,Beginner,,,,,,Novice,Novice,Advanced,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,Very Satisfied,Very Dissatisfied,Dissatisfied,Neutral or Average,Neutral or Average
Marc,marc.bello@aol.com,29,Female,Local or Remote,52.412190009930775,13.164528202268402,Germany,Berlin,"['Italian', 'English']",Today,Within a month,,,,,,,,,,,,Novice,Advanced,Novice,,,,,,,,,,,Intermediate,Novice,Novice,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,24.0,21.0,Neutral or Average,Neutral or Average,Very Dissatisfied,Neutral or Average,Dissatisfied
Laure,laure.schmiedecke@1und1.de,26,Female,Local Only,52.53360779467109,13.15386092239041,Germany,Berlin,"['Hindi', 'Polish', 'Spanish', 'Ukrainian']",Recently,Within 24 hours,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Intermediate,Novice,Advanced,Intermediate,Beginner,Advanced,Novice,Beginner,,,,,,Novice,Intermediate,Advanced,Expert,Novice,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,10.0,8.0,Satisfied,Very Dissatisfied,Neutral or Average,Neutral or Average,Dissatisfied
Camillo,camillo.gosek@gmail.com,25,Male,Local Only,52.656060808700325,13.678334801742333,Germany,Berlin,"['Bengali', 'Turkish', 'Hindi']",Recently,More than a month,,,,,,,Novice,Beginner,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,Dissatisfied,Dissatisfied,Very Satisfied,Neutral or Average,Very Satisfied
Kopan,kopan.staude@arcor.de,26,Prefer not to say,Local or Remote,52.61462381328751,13.170215386892812,Germany,Berlin,['Romanian'],Within a Week,Within a month,,,,,,,,,,,,Intermediate,Expert,Novice,,,,,,,,,,,Beginner,Novice,Intermediate,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,22.0,Very Dissatisfied,Very Satisfied,Satisfied,Very Dissatisfied,Neutral or Average
Leon,leon.bilir@gmail.com,27,Male,Local or Remote,52.57538539052816,13.639148907336883,Germany,Berlin,"['Russian', 'Bengali', 'Ukrainian', 'Polish']",Recently,Within 24 hours,Intermediate,Novice,Intermediate,Novice,Beginner,Intermediate,,,,,,,,,Expert,Expert,Beginner,Expert,Intermediate,,,,,,Novice,Intermediate,Advanced,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,18.0,15.0,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied
Édouard,édouard.godoy@1und1.de,25,Male,Remote Only,52.439701846349,13.24251079078986,Germany,Berlin,['Polish'],Within a Week,Within a month,,,,,,,Expert,Intermediate,Expert,Intermediate,Advanced,,,,,,,,,Intermediate,Novice,Expert,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,26.0,Very Satisfied,Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied
Sophie,sophie.baptista@unitybox.de,24,Prefer not to say,Remote Only,52.59774374425284,13.480833226174802,Germany,Berlin,"['Bengali', 'Romanian', 'Spanish', 'English', 'Ukrainian']",Within a Week,Within a week,Novice,Expert,Intermediate,Intermediate,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Beginner,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,10.0,11.0,Neutral or Average,Neutral or Average,Neutral or Average,Dissatisfied,Neutral or Average
Darren,darren.möchlichen@web.de,26,Female,Remote Only,52.434700898371645,13.244958128275492,Germany,Berlin,"['Spanish', 'Arabic', 'Ukrainian', 'Turkish']",Within a Week,Within 24 hours,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Novice,Expert,Beginner,,,,,,,,,,,Novice,Advanced,Expert,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,13.0,13.0,Very Satisfied,Very Dissatisfied,Neutral or Average,Satisfied,Dissatisfied
Isabelle,isabelle.gigli@gmail.com,25,Diverse,Local or Remote,52.38117997462386,13.46569837832662,Germany,Berlin,"['Portuguese', 'Arabic']",Today,Within a week,,,,,,,Novice,Advanced,Advanced,Intermediate,Expert,,,,,,,,,Novice,Beginner,Beginner,Advanced,Novice,,,,,,,,,,,Novice,Intermediate,Advanced,Beginner,Intermediate,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,15.0,Very Dissatisfied,Neutral or Average,Neutral or Average,Very Satisfied,Very Satisfied
Léon,léon.álamo@gmx.de,27,Diverse,Local or Remote,52.6177921750988,13.54417998428398,Germany,Berlin,"['Ukrainian', 'Punjabi', 'Japanese', 'Portuguese', 'Spanish']",Recently,Within a week,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Satisfied,Neutral or Average,Very Dissatisfied,Very Satisfied,Very Satisfied
Vicente,vicente.akgündüz@icloud.com,25,Male,Local or Remote,52.35943920557828,13.218077965854318,Germany,Berlin,['Ukrainian'],Within a Week,Within a week,,,,,,,Novice,Novice,Expert,Advanced,Novice,,,,,,,,,,,,,,,,,,,Expert,Novice,Intermediate,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,14.0,11.0,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Dissatisfied
Jordana,jordana.leonowicz@gmx.de,27,Female,Remote Only,52.50202961817866,13.187606920686802,Germany,Berlin,"['French', 'Italian', 'Ukrainian', 'German', 'Arabic']",Today,Within a week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,10.0,12.0,Very Satisfied,Dissatisfied,Neutral or Average,Satisfied,Satisfied
Ashleigh,ashleigh.vall@gmail.com,27,Female,Local or Remote,52.57071601873089,13.182215893308378,Germany,Berlin,"['French', 'Ukrainian', 'Italian']",Within a Week,Within a week,,,,,,,,,,,,,,,Expert,Intermediate,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,Neutral or Average,Satisfied,Satisfied,Satisfied,Neutral or Average
Dorota,dorota.hayrioğlu@t-online.de,30,Female,Local or Remote,52.400789653738805,13.106629453576566,Germany,Berlin,"['Punjabi', 'Romanian']",Within a Month,Within a week,,,,,,,Expert,Novice,Advanced,Expert,Intermediate,,,,,,,,,Novice,Novice,Intermediate,Advanced,Advanced,,,,,,,,,,,Novice,Intermediate,Novice,Novice,Novice,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Very Satisfied,Neutral or Average,Neutral or Average,Dissatisfied,Neutral or Average
Fabio,fabio.nazarewicz@freenet.de,29,Prefer not to say,Local or Remote,52.670490593784166,13.204088564985447,Germany,Berlin,['Spanish'],Today,Within a week,,,,,,,,,,,,,,,Beginner,Beginner,Beginner,Novice,Novice,,,,,,,,,,,Advanced,Intermediate,Novice,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,15.0,13.0,Dissatisfied,Dissatisfied,Neutral or Average,Neutral or Average,Very Dissatisfied
Wálter,wálter.akar@mail.com,27,Female,Local Only,52.44602341675792,13.11110004680565,Germany,Berlin,"['Polish', 'Arabic']",Today,More than a month,,,,,,,Novice,Beginner,Beginner,Novice,Beginner,Beginner,Intermediate,Novice,Intermediate,Intermediate,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,17.0,13.0,Satisfied,Satisfied,Neutral or Average,Very Satisfied,Dissatisfied
Rosalia,rosalia.liebelt@web.de,27,Male,Local Only,52.67146152584171,13.091563998318971,Germany,Berlin,"['Russian', 'German', 'Hindi', 'Spanish', 'Turkish']",Within a Week,Within a week,,,,,,,,,,,,Novice,Novice,Novice,Intermediate,Advanced,Beginner,Intermediate,Novice,,,,,,Expert,Beginner,Advanced,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,8.0,8.0,Very Satisfied,Satisfied,Very Dissatisfied,Neutral or Average,Very Dissatisfied
Damiano,damiano.döring@aol.com,25,Male,Local or Remote,52.62744077364914,13.118780099184024,Germany,Berlin,['Russian'],Within a Week,More than a month,,,,,,,,,,,,Advanced,Beginner,Intermediate,,,,,,Novice,Beginner,Beginner,Beginner,Novice,,,,,,Expert,Beginner,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,20.0,19.0,Dissatisfied,Neutral or Average,Dissatisfied,Very Satisfied,Neutral or Average
Kornel,kornel.piccio@gmail.com,26,Male,Local or Remote,52.43319420701115,13.669474446994318,Germany,Berlin,"['Spanish', 'English', 'Ukrainian', 'Romanian', 'Polish']",Within a Week,Within a month,,,,,,,,,,,,,,,Beginner,Intermediate,Beginner,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,12.0,13.0,Satisfied,Dissatisfied,Very Satisfied,Neutral or Average,Very Satisfied
Lauren,lauren.akar@zoho.com,23,Prefer not to say,Local Only,52.40739959700312,13.75198903968422,Germany,Berlin,['Arabic'],Within a Month,More than a month,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Beginner,Novice,Intermediate,Novice,Novice,Expert,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,7.0,10.0,Dissatisfied,Satisfied,Satisfied,Very Satisfied,Neutral or Average
Inga,inga.ocaña@outlook.com,24,Female,Local or Remote,52.50260901958931,13.37485409429153,Germany,Berlin,"['Romanian', 'English']",Within a Week,Within a month,,,,,,,,,,,,Expert,Intermediate,Intermediate,,,,,,Expert,Advanced,Novice,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,14.0,Dissatisfied,Satisfied,Neutral or Average,Neutral or Average,Very Satisfied
Wojciech,wojciech.esteves@web.de,25,Prefer not to say,Local or Remote,52.50060330422692,13.533305155607543,Germany,Berlin,"['Russian', 'Bengali', 'Ukrainian', 'Portuguese', 'German']",Recently,Within 24 hours,,,,,,,Novice,Intermediate,Intermediate,Advanced,Expert,,,,,,,,,,,,,,Advanced,Novice,Advanced,Intermediate,Beginner,,,,,,Novice,Advanced,Advanced,Novice,Beginner,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,15.0,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral or Average
Giuseppe,giuseppe.eraslan@t-online.de,28,Female,Local or Remote,52.524033586066665,13.426242520227978,Germany,Berlin,['Romanian'],Within a Week,Within a week,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Intermediate,Novice,Novice,,,,,,,,,,,Intermediate,Expert,Novice,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,20.0,19.0,Very Satisfied,Dissatisfied,Very Satisfied,Neutral or Average,Dissatisfied
Marko,marko.bonanno@unitybox.de,26,Female,Remote Only,52.42841072578028,13.400756552336976,Germany,Berlin,"['Portuguese', 'Hindi', 'French']",Within a Week,More than a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,Satisfied,Satisfied,Very Dissatisfied,Dissatisfied,Very Satisfied
Marcello,marcello.yıldırım@t-online.de,29,Female,Local or Remote,52.63117466426878,13.680937391370891,Germany,Berlin,['Polish'],Within a Week,More than a month,Intermediate,Beginner,Beginner,Novice,Novice,Expert,,,,,,,,,Novice,Novice,Novice,Intermediate,Beginner,,,,,,,,,,,Advanced,Novice,Novice,Novice,Intermediate,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,22.0,Very Dissatisfied,Neutral or Average,Very Satisfied,Satisfied,Dissatisfied
Graham,graham.leblanc@hotmail.com,23,Female,Local or Remote,52.496678778853656,13.679710778763766,Germany,Berlin,"['Mandarin Chinese', 'Russian']",Today,Within a month,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,13.0,13.0,Very Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Neutral or Average
Ester,ester.sastre@zoho.com,24,Diverse,Local Only,52.48229178511275,13.314124091928113,Germany,Berlin,['Arabic'],Within a Week,Within a week,,,,,,,,,,,,,,,Beginner,Expert,Expert,Intermediate,Beginner,,,,,,,,,,,Novice,Novice,Beginner,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,23.0,19.0,Dissatisfied,Very Dissatisfied,Satisfied,Very Satisfied,Satisfied
Agnès,agnès.kamela@zoho.com,25,Female,Remote Only,52.39424382522834,13.705102111577306,Germany,Berlin,"['Bengali', 'Italian']",Recently,Within a week,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Novice,Beginner,Intermediate,Novice,Intermediate,Expert,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,8.0,9.0,Satisfied,Dissatisfied,Very Satisfied,Neutral or Average,Neutral or Average
Cannur,cannur.bärer@icloud.com,26,Female,Local or Remote,52.49958856654853,13.623922413618416,Germany,Berlin,"['Italian', 'Romanian', 'Punjabi']",Within a Week,Within 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Dissatisfied,Very Satisfied,Neutral or Average,Neutral or Average,Dissatisfied
Geraldo,geraldo.ribeiro@aol.com,24,Female,Local or Remote,52.45668609663227,13.3145840253152,Germany,Berlin,"['Portuguese', 'Arabic', 'French']",Within a Week,Within a week,,,,,,,,,,,,Novice,Novice,Advanced,,,,,,,,,,,,,,,,Beginner,Novice,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,Very Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied
Jean,jean.melo@gmx.de,29,Male,Local or Remote,52.55841955602694,13.432153951543471,Germany,Berlin,"['Portuguese', 'French']",Within a Week,Within a week,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Advanced,Novice,Intermediate,Novice,Expert,Intermediate,Novice,Novice,Novice,Intermediate,Novice,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,7.0,6.0,Dissatisfied,Satisfied,Neutral or Average,Very Dissatisfied,Neutral or Average
