First_Name,EMail,Age,Gender,Location_Preferences,Coordinate,Country,City,Languages_Preferred,Last_Seen,Response_Time
Joana,joana.kiszczak@t-online.de,31,Male,Remote Only,"(52.387404317352946, 13.49088258147146)",Germany,Berlin,"['Hindi', 'Italian']",Yesterday,Within a month
Rüknettin,rüknettin.neto@hotmail.com,42,Male,Remote Only,"(52.4437002266191, 13.462400664362576)",Germany,Berlin,"['Romanian', 'Bengali', 'Spanish', 'Italian']",Today,Within a week
Antonello,antonello.mitoraj@gmail.com,63,Female,Local or Remote,"(52.57881012313516, 13.555251608919537)",Germany,Berlin,"['Punjabi', 'Bengali']",Over a Month Ago,Within a week
Florencia,florencia.o'brien@t-online.de,33,Other,Local Only,"(52.40659895822669, 13.132638090980905)",Germany,Berlin,"['Hindi', 'Japanese', 'Portuguese', 'Punjabi']",Today,Within a month
María Cristina,maría cristina.speer@gmx.de,57,Male,Local or Remote,"(52.52277203565071, 13.251310854718414)",Germany,Berlin,"['Mandarin Chinese', 'Portuguese', 'Hindi', 'Ukrainian']",Recently,Within a week
Salomé,salomé.vigliotti@mail.com,57,Male,Local or Remote,"(52.59848028778369, 13.124286185930488)",Germany,Berlin,['English'],Yesterday,Within a month
Leon,leon.fuller@hotmail.com,55,Other,Remote Only,"(52.50285896643031, 13.08966288732554)",Germany,Berlin,"['German', 'Spanish', 'Romanian']",Yesterday,Within a month
Baki,baki.parisi@icloud.com,22,Male,Local or Remote,"(52.39680274442735, 13.463796573744244)",Germany,Berlin,"['Ukrainian', 'Romanian']",Over a Month Ago,Within a month
Joana,joana.guerreiro@outlook.com,22,Male,Local Only,"(52.418585101793354, 13.234992747347007)",Germany,Berlin,"['Hindi', 'Italian']",Within a Month,Within a month
Tatiana,tatiana.zorlu@hotmail.com,24,Other,Local Only,"(52.63866779274126, 13.527436750439037)",Germany,Berlin,['French'],Within a Week,Within a week
Frank-Peter,frank-peter.paiva@protonmail.com,49,Other,Local Only,"(52.34720091765076, 13.334280200365082)",Germany,Berlin,"['Mandarin Chinese', 'Japanese', 'French', 'Punjabi']",Recently,Within a week
Valentín,valentín.garcia@web.de,38,Male,Local or Remote,"(52.56721117635141, 13.760364705076645)",Germany,Berlin,"['French', 'Hindi', 'Mandarin Chinese', 'Romanian', 'Turkish']",Within a Week,Within 24 hours
Osvaldo,osvaldo.peñas@1und1.de,58,Female,Local Only,"(52.55671309993156, 13.73456491156587)",Germany,Berlin,"['Turkish', 'French', 'Mandarin Chinese', 'Portuguese', 'Russian']",Recently,Within a month
Miriam,miriam.daniel@freenet.de,60,Female,Local Only,"(52.379855135439904, 13.416163732573658)",Germany,Berlin,"['Russian', 'Arabic', 'Punjabi']",Today,Within 24 hours
Marianne,marianne.corominas@yahoo.com,46,Male,Local or Remote,"(52.47142389145689, 13.432595383335148)",Germany,Berlin,"['Italian', 'Ukrainian', 'Bengali']",Yesterday,Within 24 hours
Jan,jan.platini@mail.com,27,Male,Local or Remote,"(52.44218942520867, 13.431340543544177)",Germany,Berlin,['Bengali'],Within a Week,Within 24 hours
Mário,mário.thompson@unitybox.de,44,Other,Remote Only,"(52.475766419029675, 13.635730424362597)",Germany,Berlin,"['Turkish', 'Spanish', 'English']",Within a Week,Within a week
Danilo,danilo.schomber@t-online.de,29,Female,Remote Only,"(52.476820609307914, 13.56666026478626)",Germany,Berlin,['Ukrainian'],Within a Week,Within a month
Dominga,dominga.klotz@zoho.com,50,Other,Local or Remote,"(52.466652215164714, 13.695106553811794)",Germany,Berlin,['Arabic'],Recently,Within a month
Cassandra,cassandra.naser@outlook.com,53,Male,Local or Remote,"(52.439491506526004, 13.385366017561767)",Germany,Berlin,"['French', 'Romanian']",Within a Month,Within a month
Nayara,nayara.mckenzie@yahoo.com,52,Other,Local or Remote,"(52.51321846308721, 13.570787371629695)",Germany,Berlin,['Polish'],Recently,Within a month
Cezary,cezary.tonisto@icloud.com,38,Female,Local or Remote,"(52.408838718777425, 13.213677178271261)",Germany,Berlin,['Mandarin Chinese'],Yesterday,Within a week
Elżbieta,elżbieta.pinheiro@icloud.com,21,Female,Remote Only,"(52.56985746068405, 13.657897458038939)",Germany,Berlin,"['Bengali', 'Portuguese', 'Arabic']",Recently,Within a month
Nicole,nicole.burkiewicz@freenet.de,59,Female,Local or Remote,"(52.60133031424684, 13.21266068890228)",Germany,Berlin,"['Ukrainian', 'Spanish', 'Romanian', 'Mandarin Chinese', 'Hindi']",Within a Month,Within a month
Simon,simon.salandra@t-online.de,20,Male,Remote Only,"(52.60978607040347, 13.19424759805704)",Germany,Berlin,"['Polish', 'Arabic', 'German', 'Bengali']",Recently,Within 24 hours
Bárbara,bárbara.durdu@yahoo.com,21,Other,Local or Remote,"(52.45822111699652, 13.24807485693371)",Germany,Berlin,"['Mandarin Chinese', 'Russian']",Yesterday,Within 24 hours
Anastasios,anastasios.riehl@t-online.de,47,Male,Local or Remote,"(52.55834419455208, 13.726593574604887)",Germany,Berlin,"['Ukrainian', 'English', 'Romanian', 'Portuguese', 'Mandarin Chinese']",Yesterday,Within 24 hours
Heinz-Werner,heinz-werner.crespi@hotmail.com,32,Male,Local or Remote,"(52.439820920505, 13.268932285467736)",Germany,Berlin,['Mandarin Chinese'],Within a Month,Within 24 hours
Hannes,hannes.gil@protonmail.com,42,Male,Remote Only,"(52.35712475909429, 13.116411460021354)",Germany,Berlin,['Japanese'],Recently,Within 24 hours
Ida,ida.maia@unitybox.de,55,Male,Remote Only,"(52.59338687211256, 13.392248045385626)",Germany,Berlin,"['Mandarin Chinese', 'Japanese']",Within a Week,Within a month
Urban,urban.sager@freenet.de,56,Female,Remote Only,"(52.53011857342726, 13.18833898034757)",Germany,Berlin,"['Italian', 'Romanian']",Recently,Within 24 hours
Arnaldo,arnaldo.dupré@arcor.de,25,Other,Remote Only,"(52.43722075003833, 13.60097698371018)",Germany,Berlin,"['Bengali', 'Portuguese']",Yesterday,Within 24 hours
Román,román.yaman@hotmail.com,56,Female,Remote Only,"(52.66186163970631, 13.76004852371434)",Germany,Berlin,"['Punjabi', 'German', 'Bengali', 'Polish']",Today,Within a month
Giuliana,giuliana.abatantuono@gmx.de,27,Female,Local or Remote,"(52.49048111008162, 13.185245927944452)",Germany,Berlin,"['Ukrainian', 'German', 'Romanian', 'Polish']",Recently,Within a week
Denizalp,denizalp.rörricht@arcor.de,41,Other,Local or Remote,"(52.34018237694522, 13.183034040183411)",Germany,Berlin,"['Punjabi', 'Spanish', 'Russian']",Over a Month Ago,Within a month
Karataş,karataş.leite@outlook.com,36,Male,Local Only,"(52.41380504268426, 13.231968927611236)",Germany,Berlin,"['Spanish', 'Punjabi']",Today,Within a week
Marcos,marcos.fırat@hotmail.com,21,Male,Remote Only,"(52.41705197189558, 13.586240495802892)",Germany,Berlin,"['Italian', 'Polish', 'Portuguese', 'Romanian']",Over a Month Ago,Within a week
Jessika,jessika.guarneri@t-online.de,55,Female,Remote Only,"(52.39041289236564, 13.313869288431116)",Germany,Berlin,"['English', 'Mandarin Chinese', 'Polish', 'Ukrainian', 'Russian']",Within a Month,Within 24 hours
Heidi,heidi.i̇hsanoğlu@zoho.com,54,Female,Remote Only,"(52.37194519280782, 13.12804731002147)",Germany,Berlin,"['French', 'Spanish', 'Japanese', 'Bengali']",Today,Within a month
Joana,joana.speer@gmail.com,54,Male,Local or Remote,"(52.65816003433215, 13.387699457447514)",Germany,Berlin,"['Portuguese', 'English', 'Hindi', 'Turkish', 'Mandarin Chinese']",Recently,Within 24 hours
Mafalda,mafalda.giolitti@arcor.de,25,Male,Local or Remote,"(52.45069717591583, 13.442843015601145)",Germany,Berlin,"['English', 'Spanish', 'Mandarin Chinese', 'Romanian', 'French']",Within a Week,Within 24 hours
Ecemiş,ecemiş.hayrioğlu@outlook.com,35,Male,Remote Only,"(52.52779252566942, 13.467674343907252)",Germany,Berlin,"['Russian', 'Arabic', 'Hindi']",Recently,Within a week
Emanuel,emanuel.barros@icloud.com,58,Female,Remote Only,"(52.382183810655064, 13.487684201693037)",Germany,Berlin,"['Polish', 'Arabic', 'Turkish', 'Italian', 'Romanian']",Within a Week,Within 24 hours
Silanur,silanur.robson@arcor.de,23,Other,Remote Only,"(52.478001197656674, 13.424697990250241)",Germany,Berlin,"['Spanish', 'Hindi', 'Mandarin Chinese', 'Japanese']",Over a Month Ago,Within a month
Viola,viola.wallis@freenet.de,55,Male,Local Only,"(52.45150167022707, 13.498553904383774)",Germany,Berlin,"['Arabic', 'English', 'Japanese', 'Turkish']",Yesterday,Within a week
Minibe,minibe.murphy@yahoo.com,58,Other,Remote Only,"(52.35004100211705, 13.251605061371844)",Germany,Berlin,"['Polish', 'German', 'Punjabi', 'French', 'Turkish']",Today,Within a month
Nabil,nabil.rębiś@yahoo.com,38,Male,Local Only,"(52.41308247930839, 13.425676451550556)",Germany,Berlin,"['Spanish', 'Romanian', 'Russian', 'Punjabi', 'Bengali']",Within a Month,Within a month
Prudencio,prudencio.bouvet@gmail.com,37,Other,Remote Only,"(52.48663264431876, 13.5565185535651)",Germany,Berlin,"['Ukrainian', 'Mandarin Chinese']",Today,Within a week
Anna-Maria,anna-maria.lange@unitybox.de,24,Other,Local Only,"(52.6155146424264, 13.201332465772188)",Germany,Berlin,['Italian'],Within a Week,Within 24 hours
Violeta,violeta.dias@mail.com,34,Male,Local Only,"(52.411633361448494, 13.342543519878227)",Germany,Berlin,"['Romanian', 'Ukrainian', 'Portuguese']",Today,Within 24 hours
Melania,melania.marcos@icloud.com,26,Other,Local or Remote,"(52.36530647779206, 13.44299981436775)",Germany,Berlin,['English'],Within a Week,Within a month
Nair,nair.grzeszkowiak@icloud.com,36,Male,Local Only,"(52.444594927058034, 13.454450225732469)",Germany,Berlin,['French'],Over a Month Ago,Within a week
Valentina,valentina.macedo@zoho.com,30,Other,Local Only,"(52.664354570285646, 13.700916501616001)",Germany,Berlin,"['English', 'Mandarin Chinese', 'Punjabi', 'Romanian']",Today,Within a month
Luigi,luigi.guillet@mail.com,37,Other,Remote Only,"(52.55245038963313, 13.60956558274438)",Germany,Berlin,"['French', 'Portuguese', 'Arabic', 'German']",Within a Month,Within 24 hours
Sernur,sernur.moreira@protonmail.com,43,Other,Remote Only,"(52.544240269804156, 13.425912030795052)",Germany,Berlin,"['Polish', 'German', 'Punjabi', 'Turkish']",Today,Within a month
Roksana,roksana.cohen@mail.com,49,Male,Local Only,"(52.55141521782726, 13.144200806978603)",Germany,Berlin,"['Turkish', 'English', 'Polish', 'German', 'Bengali']",Today,Within a week
Tatiana,tatiana.zachwieja@web.de,53,Female,Remote Only,"(52.479232689840295, 13.2783492432545)",Germany,Berlin,"['Spanish', 'Bengali', 'Portuguese', 'Turkish', 'Polish']",Yesterday,Within a week
Janice,janice.milcarz@outlook.com,19,Male,Local or Remote,"(52.59142532505914, 13.396168900221886)",Germany,Berlin,"['Italian', 'Ukrainian', 'Romanian', 'Mandarin Chinese', 'French']",Today,Within 24 hours
Ilona,ilona.drewes@outlook.com,28,Female,Local Only,"(52.37045033519538, 13.292326005376992)",Germany,Berlin,"['Romanian', 'Japanese', 'French', 'Polish']",Within a Week,Within a week
Adrienne,adrienne.almeida@outlook.com,23,Male,Local or Remote,"(52.41975418758791, 13.662160991829527)",Germany,Berlin,"['Ukrainian', 'German']",Over a Month Ago,Within 24 hours
Monique,monique.bieleń@aol.com,60,Female,Local or Remote,"(52.389128389030176, 13.383651071580251)",Germany,Berlin,"['Polish', 'Ukrainian', 'Italian']",Yesterday,Within 24 hours
Cesare,cesare.cichorius@gmx.de,22,Other,Remote Only,"(52.567178716108316, 13.603995399003264)",Germany,Berlin,"['Portuguese', 'English', 'Spanish', 'Arabic']",Within a Month,Within a week
Jorge,jorge.owen@zoho.com,57,Female,Remote Only,"(52.42859912211457, 13.148196698333056)",Germany,Berlin,"['Spanish', 'Portuguese', 'Japanese', 'German']",Within a Week,Within a week
Alix,alix.stoll@web.de,31,Male,Local Only,"(52.338520784901256, 13.098873911217458)",Germany,Berlin,['Italian'],Within a Week,Within a month
Gretchen,gretchen.riley@1und1.de,56,Female,Remote Only,"(52.43240452150351, 13.291170958773154)",Germany,Berlin,['Bengali'],Recently,Within a month
Igor,igor.smith@gmx.de,39,Male,Local or Remote,"(52.42407630109752, 13.659591717248096)",Germany,Berlin,"['Punjabi', 'Hindi', 'Bengali']",Within a Week,Within a week
Lia,lia.ritter@unitybox.de,41,Male,Local or Remote,"(52.436676930429506, 13.235080340827627)",Germany,Berlin,"['Japanese', 'Polish', 'Punjabi']",Within a Week,Within a week
Anne,anne.bradshaw@freenet.de,58,Other,Local or Remote,"(52.53218275284958, 13.162835200151097)",Germany,Berlin,['English'],Yesterday,Within a month
Ksawery,ksawery.vergerio@yahoo.com,39,Other,Remote Only,"(52.511901298616195, 13.20192885568199)",Germany,Berlin,"['English', 'Romanian', 'Portuguese', 'Turkish', 'Polish']",Yesterday,Within 24 hours
Sara,sara.staude@unitybox.de,44,Female,Local or Remote,"(52.557110312388296, 13.701890887220335)",Germany,Berlin,"['German', 'Mandarin Chinese', 'Arabic', 'Turkish', 'Bengali']",Recently,Within 24 hours
Noël,noël.smoczyk@unitybox.de,42,Other,Remote Only,"(52.643297823867904, 13.579905873539383)",Germany,Berlin,"['Romanian', 'English', 'Ukrainian']",Within a Month,Within a week
Pío,pío.assunção@zoho.com,58,Other,Remote Only,"(52.3692634267103, 13.57636715900745)",Germany,Berlin,"['Japanese', 'Ukrainian', 'Spanish', 'Russian', 'Hindi']",Today,Within 24 hours
Ninetta,ninetta.sakarya@outlook.com,20,Other,Local or Remote,"(52.49465176416982, 13.554711033348548)",Germany,Berlin,"['Mandarin Chinese', 'Ukrainian']",Within a Week,Within a week
Eutimio,eutimio.cardoso@hotmail.com,63,Other,Remote Only,"(52.383451612857705, 13.717101271121424)",Germany,Berlin,"['Portuguese', 'French', 'Turkish', 'Italian', 'Bengali']",Today,Within a month
Doğanalp,doğanalp.thorpe@unitybox.de,30,Other,Local Only,"(52.499541316544104, 13.510138077454524)",Germany,Berlin,['English'],Recently,Within a month
Marcelle,marcelle.salvador@gmx.de,63,Other,Local Only,"(52.390649967071845, 13.09993310443781)",Germany,Berlin,"['Turkish', 'Portuguese', 'Japanese']",Recently,Within a month
Ryszard,ryszard.franiak@web.de,19,Male,Local Only,"(52.631533005589375, 13.658549765491346)",Germany,Berlin,"['Punjabi', 'English']",Recently,Within 24 hours
Tina,tina.bełz@protonmail.com,52,Other,Local Only,"(52.62428430736524, 13.708866815121654)",Germany,Berlin,['Arabic'],Yesterday,Within 24 hours
Sylvia,sylvia.beer@icloud.com,42,Male,Remote Only,"(52.579941161402246, 13.48388948282774)",Germany,Berlin,"['Portuguese', 'Polish', 'English', 'Japanese', 'Mandarin Chinese']",Within a Month,Within 24 hours
Martin,martin.molina@unitybox.de,62,Male,Local or Remote,"(52.36560233242876, 13.175267444792828)",Germany,Berlin,"['Polish', 'Italian', 'English', 'Arabic', 'Mandarin Chinese']",Today,Within a week
Augustin,augustin.jones@1und1.de,55,Male,Remote Only,"(52.51306679711256, 13.258553446325129)",Germany,Berlin,"['Italian', 'French', 'Spanish', 'Japanese']",Yesterday,Within 24 hours
Ewa,ewa.gute@arcor.de,60,Male,Local Only,"(52.49380239891363, 13.22893468413231)",Germany,Berlin,['Hindi'],Today,Within a week
Paulino,paulino.lloyd@outlook.com,64,Male,Local Only,"(52.429796616306064, 13.747227811208884)",Germany,Berlin,"['Portuguese', 'Ukrainian', 'Romanian', 'Spanish', 'Hindi']",Today,Within 24 hours
Argu,argu.bonneau@arcor.de,40,Male,Local Only,"(52.61007009582493, 13.485543222370456)",Germany,Berlin,"['Spanish', 'Bengali', 'Romanian', 'Arabic', 'Turkish']",Today,Within a week
Valentim,valentim.cyrek@gmail.com,20,Female,Local Only,"(52.52623997795989, 13.51413232278301)",Germany,Berlin,"['Hindi', 'English', 'Portuguese', 'Turkish']",Over a Month Ago,Within 24 hours
Türkalp,türkalp.glover@1und1.de,48,Male,Remote Only,"(52.514012287011354, 13.552571052584005)",Germany,Berlin,"['Portuguese', 'Russian', 'French']",Recently,Within a week
Kenneth,kenneth.antón@arcor.de,55,Female,Local Only,"(52.55728265674964, 13.602967432595692)",Germany,Berlin,"['German', 'Japanese', 'Spanish']",Yesterday,Within a month
Joséphine,joséphine.doglioni@unitybox.de,21,Female,Local Only,"(52.65930428056225, 13.452135328842184)",Germany,Berlin,"['Russian', 'Bengali']",Yesterday,Within a week
María Ángeles,maría ángeles.taylor@yahoo.com,21,Other,Local Only,"(52.628402273583035, 13.094084386212547)",Germany,Berlin,"['Polish', 'Turkish', 'Ukrainian', 'Russian', 'Bengali']",Yesterday,Within a month
Leonardo,leonardo.sá@gmail.com,51,Other,Local or Remote,"(52.41298542751878, 13.64048273319243)",Germany,Berlin,"['English', 'Spanish', 'Russian', 'Bengali', 'Arabic']",Recently,Within 24 hours
Darren,darren.samele@1und1.de,58,Other,Local or Remote,"(52.35825107506602, 13.624962297581918)",Germany,Berlin,"['French', 'Turkish', 'English', 'Japanese', 'Russian']",Yesterday,Within a week
Augusta,augusta.nędzi@outlook.com,53,Female,Local Only,"(52.484562373926295, 13.639684504131163)",Germany,Berlin,"['Punjabi', 'Italian', 'English', 'Mandarin Chinese']",Within a Month,Within a month
Anita,anita.harper@hotmail.com,51,Male,Remote Only,"(52.57804999178938, 13.537676901883524)",Germany,Berlin,"['Portuguese', 'Bengali', 'French', 'Hindi', 'Punjabi']",Over a Month Ago,Within a month
Charlotte,charlotte.dijoux@aol.com,55,Other,Local or Remote,"(52.565487996944135, 13.593541584488955)",Germany,Berlin,"['Mandarin Chinese', 'Bengali', 'Polish', 'Turkish']",Today,Within a week
Ilaria,ilaria.azevedo@gmx.de,34,Female,Local or Remote,"(52.52049045143789, 13.350986562165387)",Germany,Berlin,"['French', 'Italian', 'Polish', 'Punjabi', 'English']",Over a Month Ago,Within a week
Thérèse,thérèse.jędrak@unitybox.de,32,Female,Local or Remote,"(52.43063097911856, 13.753328892049202)",Germany,Berlin,"['German', 'Polish', 'Spanish', 'Turkish', 'Romanian']",Yesterday,Within a month
Sonia,sonia.miranda@icloud.com,30,Female,Local Only,"(52.56936923098251, 13.690889166120257)",Germany,Berlin,"['Ukrainian', 'Spanish', 'French']",Today,Within a week
Heide-Marie,heide-marie.correia@aol.com,44,Other,Local Only,"(52.45259509215409, 13.759304639172678)",Germany,Berlin,"['Portuguese', 'French', 'Bengali', 'Japanese', 'English']",Within a Month,Within a week
Dariusz,dariusz.stelmasiak@aol.com,52,Male,Local Only,"(52.41943778325171, 13.122378967210574)",Germany,Berlin,"['English', 'Bengali', 'German', 'Arabic']",Over a Month Ago,Within a month
Hasgül,hasgül.giacometti@hotmail.com,57,Female,Local Only,"(52.459499053416536, 13.712254630803294)",Germany,Berlin,"['Arabic', 'Hindi']",Within a Month,Within 24 hours
Edward,edward.armellini@gmx.de,59,Other,Local Only,"(52.54064828887916, 13.501298582427046)",Germany,Berlin,"['Polish', 'Bengali', 'Spanish', 'Hindi', 'Japanese']",Over a Month Ago,Within a month
Paula,paula.kennedy@freenet.de,53,Other,Remote Only,"(52.392806271832306, 13.435876496260194)",Germany,Berlin,['German'],Over a Month Ago,Within a month
Anastazja,anastazja.tschentscher@outlook.com,19,Other,Local or Remote,"(52.439462697558085, 13.376443242318775)",Germany,Berlin,"['German', 'English']",Within a Month,Within a week
Leander,leander.le roux@web.de,44,Female,Local or Remote,"(52.54376432295991, 13.219790490524671)",Germany,Berlin,"['Punjabi', 'Mandarin Chinese']",Today,Within a week
Albert,albert.langlois@unitybox.de,24,Male,Remote Only,"(52.56550412670453, 13.102221295265352)",Germany,Berlin,"['Hindi', 'Spanish', 'Portuguese', 'French']",Over a Month Ago,Within a week
Dorota,dorota.nogueira@web.de,62,Female,Remote Only,"(52.536539731833514, 13.39706761094467)",Germany,Berlin,"['French', 'Portuguese', 'Hindi', 'German']",Today,Within a week
Olivia,olivia.rios@outlook.com,20,Female,Local Only,"(52.63853879568899, 13.124153849238313)",Germany,Berlin,"['Ukrainian', 'Romanian']",Recently,Within 24 hours
Louise,louise.reis@protonmail.com,65,Male,Remote Only,"(52.39168336780714, 13.415018787763078)",Germany,Berlin,"['German', 'Italian']",Within a Week,Within 24 hours
Josephine,josephine.ughi@icloud.com,40,Female,Local Only,"(52.34717231121953, 13.664562270206128)",Germany,Berlin,"['Arabic', 'Polish']",Over a Month Ago,Within a month
Nuno,nuno.arsoy@unitybox.de,36,Other,Local or Remote,"(52.45256680388172, 13.480812518741521)",Germany,Berlin,"['Romanian', 'Punjabi']",Today,Within a month
Gürten,gürten.demir@gmail.com,26,Female,Local or Remote,"(52.549312877291676, 13.299867245540742)",Germany,Berlin,['Spanish'],Today,Within 24 hours
Clémence,clémence.domińczak@freenet.de,26,Male,Local Only,"(52.35065466880876, 13.582126663495186)",Germany,Berlin,"['Russian', 'Mandarin Chinese']",Over a Month Ago,Within a month
Andrea,andrea.wheeler@freenet.de,45,Female,Local Only,"(52.36698795420365, 13.215050696140418)",Germany,Berlin,"['Arabic', 'Punjabi', 'Spanish', 'Ukrainian', 'Romanian']",Today,Within 24 hours
Marta,marta.durdu@icloud.com,53,Female,Remote Only,"(52.3399410232766, 13.187153548867112)",Germany,Berlin,"['Russian', 'Turkish', 'Mandarin Chinese', 'German']",Today,Within 24 hours
Romina,romina.boix@mail.com,35,Male,Local Only,"(52.50153457272588, 13.09739080084544)",Germany,Berlin,"['German', 'English', 'Polish']",Within a Week,Within 24 hours
Terence,terence.whitehead@zoho.com,28,Female,Remote Only,"(52.41883513478156, 13.653021719379007)",Germany,Berlin,"['Portuguese', 'Punjabi', 'Mandarin Chinese', 'Arabic']",Today,Within a week
Eliza,eliza.demirel@icloud.com,42,Female,Local Only,"(52.524823686415345, 13.344488754916036)",Germany,Berlin,['Italian'],Yesterday,Within a month
Abigail,abigail.cunha@icloud.com,31,Male,Local or Remote,"(52.489601350529426, 13.556308285919757)",Germany,Berlin,['Arabic'],Over a Month Ago,Within 24 hours
Hubert,hubert.çetin@aol.com,54,Male,Remote Only,"(52.49649692505394, 13.183745791586105)",Germany,Berlin,"['Bengali', 'English', 'Russian']",Within a Month,Within 24 hours
Natali,natali.blanc@yahoo.com,40,Male,Remote Only,"(52.39245423028925, 13.45460604031446)",Germany,Berlin,"['Mandarin Chinese', 'Portuguese', 'Turkish']",Within a Week,Within a week
Alexandra,alexandra.lefèvre@hotmail.com,51,Other,Remote Only,"(52.57646985092701, 13.453772792001656)",Germany,Berlin,"['Italian', 'German', 'Turkish']",Within a Week,Within 24 hours
Umberto,umberto.nicholson@t-online.de,25,Male,Remote Only,"(52.36283156113293, 13.094631072446816)",Germany,Berlin,"['Romanian', 'Turkish', 'Bengali']",Yesterday,Within a week
Colin,colin.hapka@zoho.com,56,Female,Remote Only,"(52.507387016821866, 13.113531072158125)",Germany,Berlin,"['German', 'Turkish', 'Japanese', 'Romanian']",Over a Month Ago,Within a week
Margarida,margarida.bernard@1und1.de,48,Male,Local or Remote,"(52.670931985782964, 13.45719279232112)",Germany,Berlin,['Punjabi'],Today,Within a month
Paolo,paolo.dmoch@web.de,20,Male,Local Only,"(52.637767325579006, 13.131929307886672)",Germany,Berlin,"['Turkish', 'Arabic', 'Punjabi', 'German', 'Italian']",Within a Week,Within a week
Katarina,katarina.riou@hotmail.com,38,Female,Remote Only,"(52.57474006268072, 13.088862548542407)",Germany,Berlin,"['Polish', 'Italian', 'Ukrainian']",Yesterday,Within a week
Andrée,andrée.ullrich@aol.com,47,Other,Local Only,"(52.46218584443022, 13.611461996250139)",Germany,Berlin,['German'],Over a Month Ago,Within a week
Gilbert,gilbert.dossi@outlook.com,30,Other,Local Only,"(52.615738469348, 13.533526636008)",Germany,Berlin,"['Russian', 'Punjabi', 'German']",Within a Month,Within 24 hours
Nacio,nacio.mota@mail.com,58,Other,Local or Remote,"(52.349870979442024, 13.141380748181367)",Germany,Berlin,"['Italian', 'Turkish', 'English']",Recently,Within a month
Marianna,marianna.akça@arcor.de,23,Male,Local or Remote,"(52.58990667967323, 13.688929902474761)",Germany,Berlin,"['Punjabi', 'Japanese', 'Arabic', 'Mandarin Chinese']",Over a Month Ago,Within a month
Georgine,georgine.jüttner@1und1.de,26,Male,Local or Remote,"(52.60254453559492, 13.241624513808855)",Germany,Berlin,"['Spanish', 'Mandarin Chinese']",Over a Month Ago,Within a month
